file,omega_rpm,axial_depth_m,boundary_m,label,kurtosis_1st_derivative,ar_coeff_2,d2_energy,skewness_1st_derivative,multi_axis_energy_asymmetry,d3_d4_subband_energy_ratio,coherence_at_dominant_resonant,impulse_factor,cross_axis_peak_delay,cross_spectral_centroid,phase_space_ellipsicity,bivariate_orbit_radius_ratio
time1_38.h5,6500.0,0.003,0.005340597669805986,0,1.5182661925240732,-0.8159913132991778,20395.241309029872,0.5819946070095517,-0.4520754649688078,0.04953190362271188,0.9999995139264436,2.255157028505661,0.00015915119363396624,466.2250364208325,0.606603748940001,0.2745996475503562
time1_39.h5,6500.0,0.004,0.005340597669805986,0,1.584856541606311,-0.6692149698194474,12553.015623150186,0.3491146674876727,-0.43969748850983226,0.04261179738046295,0.999999150188579,2.2582293773068107,0.00023872679045094936,449.51233488252876,0.6063149782935396,0.2750226833972545
time1_40.h5,6500.0,0.005,0.005340597669805986,0,1.651775943538682,-0.6110841282411353,12745.833915790474,0.25842829119046323,-0.4341689710242387,0.0414308885486124,0.9999989300104838,2.355353258516465,0.00023872679045094936,445.2130986098192,0.6073097447207965,0.27532456793754606
time1_41.h5,6500.0,0.006,0.005340597669805986,1,2.331003615561934,-1.7347891362509458,86083.00487096446,-0.44266610336390116,-0.41165157860273516,0.1151151781991847,0.999997938628049,2.661879079366201,0.007161803713528481,464.10128534759247,0.6678062966610894,0.28709393596186195
time1_42.h5,6500.0,0.007,0.005340597669805986,1,2.0767992343327126,-2.0286900247772297,468144.7703207792,-0.8438038098864034,-0.3648264845876054,0.2828230088008532,0.9999959969232225,3.3464905582404945,0.007161803713528481,528.9448544343317,0.766087324559964,0.30307013074799016
time1_43.h5,7000.0,0.001,0.00913760235676533,0,1.525784187886122,-0.963057985063746,15682.237930913478,1.3589128288701682,-0.49538956611784696,0.06575750360747926,0.9999917844267672,2.0900587926097676,0.00015873015873013596,567.7544394600942,0.6591832296593557,0.2840960954912673
time1_44.h5,7000.0,0.002,0.00913760235676533,0,1.5202282885389427,-0.9167926774354894,22796.152447054854,0.8738164978480437,-0.4859772312697768,0.0631378329636358,0.9999874897870293,2.0957939774529417,0.00015873015873013596,531.2071614345801,0.6589949653595109,0.28474252927538635
time1_45.h5,7000.0,0.003,0.00913760235676533,0,1.5205156084177605,-0.7637647050754905,19293.071626292553,0.47201860206021,-0.4707614659088777,0.05719476035783927,0.9999758697055602,2.0522302192706277,0.00015873015873013596,495.76582941892815,0.6587235426253678,0.28575898372630004
time1_46.h5,7000.0,0.004,0.00913760235676533,0,1.5223426716983872,-0.646024774445095,14849.60350942916,0.3679942484393186,-0.46433058967572804,0.05452804970360989,0.9999687240235747,2.0201028709301823,0.00023809523809520392,486.44616238473674,0.6586110848230936,0.2861325074720575
time1_47.h5,7000.0,0.005,0.00913760235676533,0,1.526411512902571,-0.6812971689342249,14536.01166848388,0.23257789850002922,-0.4533401956886955,0.05079205187716243,0.9999517375183666,2.000785260705433,0.00023809523809520392,476.80285177814955,0.6585074250242758,0.2866776052215551
time1_48.h5,7000.0,0.006,0.00913760235676533,0,1.528794898954619,-0.692596225741674,18361.471649769268,0.1853789451677286,-0.4486884705735026,0.049755873433156746,0.9999420151537916,1.987665204274576,0.00023809523809520392,475.12430279898007,0.6585232798828137,0.2868714985345001
time1_49.h5,7000.0,0.007,0.00913760235676533,0,1.5362310915327766,-0.8514954624140281,23574.410256848634,0.0948830158112156,-0.44083969290210734,0.04896439982883439,0.9999189312373268,1.9672960233636911,0.00023809523809520392,472.9077190765075,0.6586558161539736,0.2871532487500276
time1_50.h5,7000.0,0.008,0.00913760235676533,0,1.5497498325260521,-0.8111734457619697,25309.941626556465,-0.0033130023177142254,-0.43430936930419994,0.050611480471957036,0.9998887205120337,2.0093772624881354,0.00023809523809520392,472.3895366330035,0.6591601457512197,0.28742393500787194
time1_51.h5,7000.0,0.009,0.00913760235676533,0,1.6363801655649897,-1.1708937354487907,50237.416999452864,-0.2167328747791145,-0.4286614218768567,0.0711677487136916,0.9998688239274695,2.079076086771433,0.0019047619047616313,478.7565750737845,0.6638127267232822,0.2883900662611561
time1_52.h5,7000.0,0.009999999999999998,0.00913760235676533,1,2.132916110541343,-1.6713230658546934,247510.05471461182,-0.5994675564032246,-0.40247656252022135,0.1780282013535423,0.9998131335601764,2.4015186256887238,0.0019047619047616313,522.8692240464146,0.7046733678984298,0.2965635269293124
time1_53.h5,7500.0,0.001,0.014106855697582374,0,1.5586164544029244,-0.030479281597799,7984.711478162379,2.953941592183021,-0.4698691599104823,0.09076952217491192,0.9997277394241256,2.0883267792052345,7.999999999999674e-05,732.3008596476973,0.7265167790755621,0.2603424226992279
time1_54.h5,7500.0,0.002,0.014106855697582374,0,1.5711705358285761,-0.8913702636728428,34663.25361664815,1.0173108843949572,-0.4462500500771727,0.0858128949114783,0.9995787347989431,2.0835467016514384,0.00015999999999999348,572.9655334334346,0.7264813509572922,0.2594448338895314
time1_55.h5,7500.0,0.003,0.014106855697582374,0,1.5715312478847183,-0.8176151094031152,35194.68150680803,0.7314850171269708,-0.43797625545049845,0.08233125503965484,0.999476955883181,2.0730322017477634,0.00015999999999999348,547.491155771679,0.7264901168350226,0.2590185832337148
time1_56.h5,7500.0,0.004,0.014106855697582374,0,1.568794290376798,-0.6024510585581392,22795.317132552052,0.4222212901134952,-0.4241651174472832,0.07608782357308258,0.9992245478150025,2.0415983840599448,0.00015999999999999348,520.8423668481362,0.7265387931808863,0.2582040882285557
time1_57.h5,7500.0,0.005,0.014106855697582374,0,1.5669622772609666,-0.5088150991051795,20875.946694333918,0.32635244981594125,-0.4183238741546196,0.07412949404480217,0.9990781789349825,2.020577756844783,0.00015999999999999348,514.2616029267898,0.7265726998288135,0.25783086088175405
time1_58.h5,7500.0,0.006,0.014106855697582374,0,1.564928894950789,-0.6852810693498647,31482.055890488453,0.1932983283262719,-0.40835611246129055,0.07207052153954814,0.9987450602760772,1.9617874660881325,0.00015999999999999348,509.28071251158855,0.7266381223123423,0.2572078630186778
time1_59.h5,7500.0,0.007,0.014106855697582374,0,1.5651890397813912,-0.8161419490065652,36848.301757324734,0.13652433428873217,-0.4040958886970234,0.07177147145042065,0.9985514924629134,1.9243380368017136,0.00015999999999999348,508.28997546685105,0.7266568337502416,0.2569613313462232
time1_60.h5,7500.0,0.008,0.014106855697582374,0,1.5691625954757034,-0.7517209103490816,39019.63178690743,0.02930432100031013,-0.3965397248406136,0.07114875639094612,0.998093266652525,1.8403647567102224,0.00015999999999999348,507.281471477914,0.726641403867137,0.25660515085834473
time1_61.h5,7500.0,0.009,0.014106855697582374,0,1.5730155548797577,-0.7393616636724204,39690.28040036444,-0.022932187633689833,-0.39306222123428314,0.07071109655562509,0.9978215420071144,1.794679971285383,0.00015999999999999348,507.28202817690976,0.726601286806679,0.2564834785299323
time1_62.h5,7500.0,0.009999999999999998,0.014106855697582374,0,1.57797007205654,-0.7350700838036219,39928.72390768508,-0.07606361165531296,-0.3896909776995144,0.07035160774869302,0.9975184554725143,1.7356331901205184,0.00015999999999999348,507.50293915479006,0.7265420274649008,0.25639340131703303
time1_63.h5,7500.0,0.011,0.014106855697582374,0,1.5898621491902423,-0.5688244155277621,31874.94787766379,-0.18850308270088742,-0.38314770067755877,0.07096361850785524,0.9968101857204429,1.5795840475593632,0.00015999999999999348,508.5946973129111,0.7263747567040031,0.25630762278218544
time1_64.h5,7500.0,0.012,0.014106855697582374,0,1.5960986950297507,-0.4919616920498781,26735.116077484894,-0.24941564235520797,-0.3799706830860262,0.0725467023553944,0.9964061131744512,1.4852600171370585,0.00015999999999999348,510.1158099186076,0.7262774702369885,0.2563161843752911
time1_65.h5,7500.0,0.013,0.014106855697582374,0,1.6082055455902284,-0.5880577910969917,29905.348387457547,-0.42154257676456314,-0.37397119813001023,0.0789855293151282,0.9955269157769466,1.3745802753590752,0.00015999999999999348,520.97321147368,0.7260840424662057,0.2565135787418289
time1_66.h5,7500.0,0.013999999999999999,0.014106855697582374,0,1.6138135706833354,-0.7363653362843326,35718.64827707176,-0.5421217558779902,-0.37128063465655564,0.08381192157575353,0.9950499952530032,1.3336118797917225,0.00015999999999999348,531.7138548739488,0.7259962699192183,0.2567532534238757
time1_67.h5,7500.0,0.015,0.014106855697582374,1,1.7747046690416826,-1.0421800097585903,51576.63222714867,-0.5392941690005523,-0.3640669183746108,0.15708121394557323,0.9939576559241942,1.333952791886741,0.001839999999999925,587.2575497092,0.7328835126915823,0.25919950019948707
time1_68.h5,8000.0,0.001,0.005321338763032498,0,1.6973457744563645,-0.038685233273189734,8375.769234936024,2.498291709632946,-0.4913791212409116,0.12109077200048515,0.999995119656,2.1242811033955116,0.00016304347826087695,754.7630959398039,0.813249615747068,0.2709570268267994
time1_69.h5,8000.0,0.002,0.005321338763032498,0,1.591991051505047,-0.8813200739384436,36566.391219052704,0.7675850147861218,-0.4655679616084917,0.11731074856000274,0.9999899191694468,2.277360098753369,0.00016304347826087695,598.6443491116739,0.8125224180155646,0.26926404067815485
time1_70.h5,8000.0,0.003,0.005321338763032498,0,1.5995719250177076,-0.7980800237538737,37812.33411505179,0.5056907372547743,-0.45647529809069753,0.11465554055764733,0.9999864634869816,2.366115570425384,0.00016304347826087695,574.2837457855026,0.8121139195160055,0.26851314287622513
time1_71.h5,8000.0,0.004,0.005321338763032498,0,1.620997315636714,-0.6887704858420682,33545.27466043725,0.3258322421168149,-0.44845962460494565,0.11250659682969698,0.9999824426119357,2.4793250435189678,0.00016304347826087695,559.4541237274942,0.8116294419736935,0.26788380249170324
time1_72.h5,8000.0,0.005,0.005321338763032498,0,1.7147695070414166,-0.7704968940791804,40200.65092067068,0.06643857809976729,-0.4345174859612775,0.11292957241829225,0.9999741975165213,2.755903438505334,0.00016304347826087695,545.921732711462,0.8099994423750315,0.26777602633828784
time1_73.h5,8000.0,0.006,0.005321338763032498,1,1.8845179582052998,-1.0626042360680759,93005.92767241065,-0.24052147987813452,-0.42301752161841216,0.14029119350231567,0.9999686658069528,2.92801107678394,0.002038043478260962,551.3021697691831,0.8039559219166758,0.27764784572594725
